time(ms),error signal,control signal,feedback signal
0,255,232.05,232.05
3,22.95,97.155,97.155
7,157.845,225.446,225.446
11,29.5545,157.338,157.338
15,97.6625,227.501,227.501
19,27.4989,193.653,193.653
23,61.3474,232.366,232.366
26,22.6341,215.928,215.928
30,39.0718,237.512,237.512
35,17.4876,229.808,229.808
38,25.1919,241.988,241.988
42,13.0118,238.584,238.584
46,16.4163,245.551,245.551
50,9.44869,244.205,244.205
54,10.7946,248.251,248.251
58,6.74868,247.848,247.848
62,7.15166,250.236,250.236
66,4.76437,250.233,250.233
70,4.76743,251.665,251.665
74,3.33537,251.806,251.806
78,3.194,252.679,252.679
82,2.32062,252.852,252.852
86,2.14846,253.393,253.393
90,1.60722,253.55,253.55
94,1.4498,253.891,253.891
98,1.10931,254.019,254.019
102,0.980809,254.236,254.236
106,0.763667,254.335,254.335
110,0.664852,254.475,254.475
114,0.524686,254.549,254.549
118,0.45138,254.64,254.64
122,0.359949,254.693,254.693
126,0.306823,254.753,254.753
130,0.246652,254.791,254.791
134,0.208759,254.831,254.831
138,0.168867,254.858,254.858
142,0.142142,254.884,254.884
146,0.115534,254.903,254.903
150,0.0968387,254.921,254.921
154,0.0790045,254.934,254.934
158,0.0660037,254.946,254.946
162,0.0540031,254.955,254.955
166,0.0450025,254.963,254.963
170,0.0369021,254.969,254.969
174,0.0306917,254.975,254.975
178,0.0252104,254.979,254.979
182,0.0209361,254.983,254.983
186,0.0172199,254.986,254.986
191,0.0142836,254.988,254.988
195,0.0117603,254.99,254.99
199,0.00974621,254.992,254.992
203,0.00803079,254.993,254.993
207,0.0066508,254.995,254.995
211,0.00548355,254.995,254.995
215,0.00453884,254.996,254.996
219,0.00374402,254.997,254.997
223,0.0030977,254.997,254.997
227,0.00255618,254.998,254.998
231,0.00211424,254.998,254.998
235,0.00174513,254.999,254.999
239,0.00144306,254.999,254.999
243,0.00119138,254.999,254.999
246,0.000984973,254.999,254.999
250,0.000813328,254.999,254.999
253,0.000672317,254.999,254.999
257,0.000555229,255,255
261,0.000458913,255,255
265,0.000379028,255,255
269,0.000313251,255,255
273,0.000258742,255,255
277,0.000213825,255,255
281,0.000176628,255,255
286,0.000145957,255,255
290,0.000120572,255,255
294,9.96317e-05,255,255
298,8.23066e-05,255,255
302,6.80097e-05,255,255
306,5.61849e-05,255,255
310,4.64243e-05,255,255
314,3.83534e-05,255,255
318,3.16899e-05,255,255
322,2.6181e-05,255,255
326,2.16321e-05,255,255
330,1.78718e-05,255,255
334,1.47664e-05,255,255
338,1.21997e-05,255,255
342,1.00798e-05,255,255
346,8.32782e-06,255,255
350,6.88068e-06,255,255
354,5.68476e-06,255,255
358,4.69688e-06,255,255
362,3.88055e-06,255,255
366,3.20618e-06,255,255
370,2.64895e-06,255,255
374,2.1886e-06,255,255
378,1.80823e-06,255,255
382,1.49399e-06,255,255
386,1.23434e-06,255,255
390,1.01982e-06,255,255
394,8.42584e-07,255,255
398,6.96153e-07,255,255
402,5.75166e-07,255,255
406,4.75209e-07,255,255
409,3.9262e-07,255,255
414,3.24387e-07,255,255
418,2.68011e-07,255,255
422,2.21433e-07,255,255
426,1.8295e-07,255,255
430,1.51155e-07,255,255
434,1.24885e-07,255,255
438,1.03182e-07,255,255
442,8.52494e-08,255,255
446,7.04339e-08,255,255
450,5.8193e-08,255,255
454,4.80796e-08,255,255
458,3.97238e-08,255,255
462,3.28201e-08,255,255
466,2.71163e-08,255,255
470,2.24037e-08,255,255
474,1.85101e-08,255,255
478,1.52932e-08,255,255
482,1.26354e-08,255,255
486,1.04395e-08,255,255
490,8.62519e-09,255,255
494,7.1262e-09,255,255
498,5.8877e-09,255,255
502,4.86452e-09,255,255
506,4.01906e-09,255,255
510,3.32059e-09,255,255
514,2.74352e-09,255,255
518,2.26672e-09,255,255
522,1.87279e-09,255,255
526,1.54731e-09,255,255
530,1.27841e-09,255,255
534,1.05624e-09,255,255
538,8.7266e-10,255,255
542,7.2103e-10,255,255
546,5.95691e-10,255,255
550,4.92179e-10,255,255
554,4.06658e-10,255,255
558,3.35945e-10,255,255
562,2.77595e-10,255,255
566,2.29335e-10,255,255
570,1.89488e-10,255,255
574,1.56547e-10,255,255
578,1.29347e-10,255,255
582,1.06837e-10,255,255
586,8.83063e-11,255,255
590,7.29301e-11,255,255
594,6.0254e-11,255,255
598,4.97948e-11,255,255
602,4.11546e-11,255,255
606,3.39639e-11,255,255
610,2.81091e-11,255,255
614,2.31921e-11,255,255
618,1.91562e-11,255,255
622,1.58877e-11,255,255
626,1.3074e-11,255,255
630,1.08287e-11,255,255
634,8.92442e-12,255,255
638,7.41807e-12,255,255
642,6.08225e-12,255,255
646,5.11591e-12,255,255
650,4.14957e-12,255,255
654,3.43903e-12,255,255
658,2.84217e-12,255,255
662,2.359e-12,255,255
666,1.93268e-12,255,255
670,1.62004e-12,255,255
674,1.33582e-12,255,255
678,1.08002e-12,255,255
682,9.37916e-13,255,255
686,7.38964e-13,255,255
690,6.53699e-13,255,255
694,5.11591e-13,255,255
698,4.54747e-13,255,255
702,3.41061e-13,255,255
706,3.12639e-13,255,255
710,2.27374e-13,255,255
714,1.98952e-13,255,255
718,1.7053e-13,255,255
722,1.13687e-13,255,255
726,1.13687e-13,255,255
730,8.52651e-14,255,255
734,5.68434e-14,255,255
738,5.68434e-14,255,255
742,5.68434e-14,255,255
746,5.68434e-14,255,255
750,5.68434e-14,255,255
754,5.68434e-14,255,255
758,5.68434e-14,255,255
762,5.68434e-14,255,255
766,5.68434e-14,255,255
770,5.68434e-14,255,255
774,5.68434e-14,255,255
778,5.68434e-14,255,255
782,5.68434e-14,255,255
786,5.68434e-14,255,255
790,5.68434e-14,255,255
794,5.68434e-14,255,255
798,5.68434e-14,255,255
802,5.68434e-14,255,255
806,5.68434e-14,255,255
810,5.68434e-14,255,255
814,5.68434e-14,255,255
818,5.68434e-14,255,255
822,5.68434e-14,255,255
826,5.68434e-14,255,255
830,5.68434e-14,255,255
834,5.68434e-14,255,255
838,5.68434e-14,255,255
842,5.68434e-14,255,255
846,5.68434e-14,255,255
850,5.68434e-14,255,255
854,5.68434e-14,255,255
858,5.68434e-14,255,255
862,5.68434e-14,255,255
866,5.68434e-14,255,255
870,5.68434e-14,255,255
873,5.68434e-14,255,255
877,5.68434e-14,255,255
882,5.68434e-14,255,255
886,5.68434e-14,255,255
890,5.68434e-14,255,255
894,5.68434e-14,255,255
898,5.68434e-14,255,255
902,5.68434e-14,255,255
906,5.68434e-14,255,255
910,5.68434e-14,255,255
914,5.68434e-14,255,255
918,5.68434e-14,255,255
922,5.68434e-14,255,255
926,5.68434e-14,255,255
930,5.68434e-14,255,255
934,5.68434e-14,255,255
938,5.68434e-14,255,255
942,5.68434e-14,255,255
946,5.68434e-14,255,255
950,5.68434e-14,255,255
954,5.68434e-14,255,255
958,5.68434e-14,255,255
962,5.68434e-14,255,255
966,5.68434e-14,255,255
970,5.68434e-14,255,255
974,5.68434e-14,255,255
