time(ms),error signal,control signal,feedback signal
0,125,113.75,113.75
3,11.25,47.625,47.625
6,77.375,110.513,110.513
10,14.4875,77.1262,77.1262
13,47.8738,111.52,111.52
16,13.4799,94.9278,94.9278
20,30.0722,113.905,113.905
23,11.0951,105.847,105.847
26,19.1529,116.428,116.428
30,8.57237,112.651,112.651
33,12.349,118.622,118.622
36,6.37832,116.953,116.953
40,8.0472,120.368,120.368
43,4.63171,119.709,119.709
46,5.29149,121.692,121.692
50,3.30818,121.494,121.494
53,3.50571,122.665,122.665
56,2.33548,122.663,122.663
60,2.33698,123.365,123.365
63,1.63498,123.434,123.434
66,1.56568,123.862,123.862
70,1.13756,123.947,123.947
73,1.05317,124.212,124.212
76,0.787852,124.289,124.289
80,0.710685,124.456,124.456
83,0.54378,124.519,124.519
86,0.480789,124.626,124.626
90,0.374347,124.674,124.674
93,0.325908,124.743,124.743
96,0.257199,124.779,124.779
100,0.221265,124.824,124.824
103,0.176446,124.85,124.85
106,0.150403,124.879,124.879
110,0.120908,124.898,124.898
113,0.102333,124.917,124.917
116,0.082778,124.93,124.93
120,0.0696775,124.943,124.943
123,0.0566345,124.953,124.953
126,0.0474699,124.961,124.961
130,0.0387277,124.968,124.968
133,0.0323547,124.974,124.974
136,0.0264721,124.978,124.978
140,0.0220601,124.982,124.982
143,0.0180893,124.985,124.985
146,0.015045,124.988,124.988
150,0.0123581,124.99,124.99
153,0.0102628,124.992,124.992
156,0.00844111,124.993,124.993
160,0.00700178,124.994,124.994
163,0.00576484,124.995,124.995
166,0.00477755,124.996,124.996
170,0.00393666,124.997,124.997
173,0.0032602,124.997,124.997
174,0.00268802,124.998,124.998
178,0.00222492,124.998,124.998
181,0.0018353,124.998,124.998
184,0.00151848,124.999,124.999
188,0.00125303,124.999,124.999
191,0.00103639,124.999,124.999
194,0.000855457,124.999,124.999
198,0.000707381,124.999,124.999
201,0.000584012,125,125
204,0.00048283,125,125
208,0.00039869,125,125
211,0.000329567,125,125
214,0.000272171,125,125
218,0.000224957,125,125
221,0.000185798,125,125
224,0.000153554,125,125
228,0.000126834,125,125
231,0.000104816,125,125
234,8.65822e-05,125,125
238,7.15478e-05,125,125
241,5.91041e-05,125,125
244,4.88391e-05,125,125
248,4.03464e-05,125,125
251,3.33381e-05,125,125
254,2.75416e-05,125,125
258,2.2757e-05,125,125
261,1.88007e-05,125,125
264,1.55343e-05,125,125
268,1.28338e-05,125,125
271,1.0604e-05,125,125
274,8.7607e-06,125,125
278,7.23844e-06,125,125
281,5.98026e-06,125,125
284,4.94109e-06,125,125
288,4.08227e-06,125,125
291,3.37288e-06,125,125
294,2.78665e-06,125,125
298,2.30239e-06,125,125
301,1.90223e-06,125,125
305,1.57166e-06,125,125
308,1.2985e-06,125,125
311,1.07285e-06,125,125
315,8.86386e-07,125,125
318,7.32346e-07,125,125
321,6.05066e-07,125,125
325,4.99914e-07,125,125
328,4.13031e-07,125,125
331,3.41252e-07,125,125
335,2.81944e-07,125,125
338,2.32945e-07,125,125
341,1.92461e-07,125,125
345,1.59013e-07,125,125
348,1.31378e-07,125,125
351,1.08546e-07,125,125
355,8.96813e-08,125,125
358,7.40956e-08,125,125
361,6.12183e-08,125,125
365,5.05792e-08,125,125
368,4.17889e-08,125,125
371,3.45264e-08,125,125
375,2.8526e-08,125,125
378,2.35684e-08,125,125
381,1.94724e-08,125,125
385,1.60883e-08,125,125
388,1.32923e-08,125,125
391,1.09822e-08,125,125
395,9.0736e-09,125,125
398,7.49668e-09,125,125
401,6.19383e-09,125,125
405,5.1174e-09,125,125
408,4.22803e-09,125,125
411,3.49324e-09,125,125
415,2.88615e-09,125,125
418,2.38455e-09,125,125
421,1.97014e-09,125,125
425,1.62774e-09,125,125
428,1.34487e-09,125,125
431,1.11113e-09,125,125
435,9.1805e-10,125,125
438,7.5849e-10,125,125
441,6.2667e-10,125,125
445,5.17758e-10,125,125
448,4.27804e-10,125,125
451,3.53424e-10,125,125
455,2.92019e-10,125,125
458,2.41258e-10,125,125
461,1.9935e-10,125,125
465,1.64675e-10,125,125
468,1.36083e-10,125,125
471,1.12408e-10,125,125
475,9.29106e-11,125,125
478,7.67386e-11,125,125
481,6.3423e-11,125,125
485,5.23812e-11,125,125
488,4.32721e-11,125,125
492,3.57687e-11,125,125
495,2.95444e-11,125,125
498,2.44142e-11,125,125
502,2.0151e-11,125,125
505,1.66693e-11,125,125
508,1.37703e-11,125,125
512,1.13829e-11,125,125
515,9.39337e-12,125,125
518,7.77334e-12,125,125
522,6.42331e-12,125,125
525,5.30065e-12,125,125
528,4.39115e-12,125,125
532,3.62377e-12,125,125
535,2.99849e-12,125,125
538,2.45848e-12,125,125
542,2.04636e-12,125,125
545,1.69109e-12,125,125
548,1.39266e-12,125,125
552,1.15108e-12,125,125
555,9.52127e-13,125,125
558,7.95808e-13,125,125
562,6.39488e-13,125,125
565,5.54223e-13,125,125
568,4.40536e-13,125,125
572,3.55271e-13,125,125
575,3.12639e-13,125,125
578,2.41585e-13,125,125
582,2.13163e-13,125,125
585,1.56319e-13,125,125
589,1.42109e-13,125,125
592,9.9476e-14,125,125
595,9.9476e-14,125,125
599,5.68434e-14,125,125
602,7.10543e-14,125,125
605,4.26326e-14,125,125
609,4.26326e-14,125,125
612,2.84217e-14,125,125
615,4.26326e-14,125,125
619,0,125,125
622,2.84217e-14,125,125
625,0,125,125
629,1.42109e-14,125,125
632,0,125,125
635,1.42109e-14,125,125
639,0,125,125
642,1.42109e-14,125,125
646,0,125,125
649,1.42109e-14,125,125
652,0,125,125
656,1.42109e-14,125,125
659,0,125,125
662,1.42109e-14,125,125
666,0,125,125
669,1.42109e-14,125,125
672,0,125,125
676,1.42109e-14,125,125
679,0,125,125
682,1.42109e-14,125,125
686,0,125,125
689,1.42109e-14,125,125
692,0,125,125
696,1.42109e-14,125,125
699,0,125,125
703,1.42109e-14,125,125
706,0,125,125
709,1.42109e-14,125,125
713,0,125,125
716,1.42109e-14,125,125
720,0,125,125
723,1.42109e-14,125,125
726,0,125,125
730,1.42109e-14,125,125
733,0,125,125
736,1.42109e-14,125,125
740,0,125,125
743,1.42109e-14,125,125
746,0,125,125
750,1.42109e-14,125,125
753,0,125,125
756,1.42109e-14,125,125
760,0,125,125
763,1.42109e-14,125,125
766,0,125,125
770,1.42109e-14,125,125
773,0,125,125
777,1.42109e-14,125,125
780,0,125,125
783,1.42109e-14,125,125
787,0,125,125
790,1.42109e-14,125,125
793,0,125,125
797,1.42109e-14,125,125
800,0,125,125
803,1.42109e-14,125,125
807,0,125,125
810,1.42109e-14,125,125
813,0,125,125
817,1.42109e-14,125,125
820,0,125,125
823,1.42109e-14,125,125
827,0,125,125
830,1.42109e-14,125,125
833,0,125,125
837,1.42109e-14,125,125
840,0,125,125
843,1.42109e-14,125,125
847,0,125,125
850,1.42109e-14,125,125
853,0,125,125
857,1.42109e-14,125,125
860,0,125,125
863,1.42109e-14,125,125
866,0,125,125
870,1.42109e-14,125,125
873,0,125,125
876,1.42109e-14,125,125
880,0,125,125
883,1.42109e-14,125,125
886,0,125,125
890,1.42109e-14,125,125
893,0,125,125
896,1.42109e-14,125,125
900,0,125,125
903,1.42109e-14,125,125
906,0,125,125
910,1.42109e-14,125,125
913,0,125,125
916,1.42109e-14,125,125
920,0,125,125
923,1.42109e-14,125,125
926,0,125,125
930,1.42109e-14,125,125
933,0,125,125
936,1.42109e-14,125,125
940,0,125,125
943,1.42109e-14,125,125
945,0,125,125
948,1.42109e-14,125,125
952,0,125,125
955,1.42109e-14,125,125
958,0,125,125
962,1.42109e-14,125,125
965,0,125,125
968,1.42109e-14,125,125
972,0,125,125
975,1.42109e-14,125,125
976,0,125,125
979,1.42109e-14,125,125
982,0,125,125
986,1.42109e-14,125,125
989,0,125,125
992,1.42109e-14,125,125
996,0,125,125
999,1.42109e-14,125,125
1002,0,125,125
1006,1.42109e-14,125,125
1006,0,125,125
